dataset,split,image_path,ex_path,he_path,ma_path,se_path,tjdr_ann_path
DDR,train,DDR-SEGMENTATION/train/image/007-3396-200.jpg,DDR-SEGMENTATION/train/label/EX/007-3396-200.tif,DDR-SEGMENTATION/train/label/HE/007-3396-200.tif,DDR-SEGMENTATION/train/label/MA/007-3396-200.tif,DDR-SEGMENTATION/train/label/SE/007-3396-200.tif,
DDR,train,DDR-SEGMENTATION/valid/image/007-5942-300.jpg,DDR-SEGMENTATION/valid/label/EX/007-5942-300.tif,DDR-SEGMENTATION/valid/label/HE/007-5942-300.tif,DDR-SEGMENTATION/valid/label/MA/007-5942-300.tif,DDR-SEGMENTATION/valid/label/SE/007-5942-300.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-1921-100.jpg,DDR-SEGMENTATION/train/label/EX/007-1921-100.tif,DDR-SEGMENTATION/train/label/HE/007-1921-100.tif,DDR-SEGMENTATION/train/label/MA/007-1921-100.tif,DDR-SEGMENTATION/train/label/SE/007-1921-100.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-4980-300.jpg,DDR-SEGMENTATION/train/label/EX/007-4980-300.tif,DDR-SEGMENTATION/train/label/HE/007-4980-300.tif,DDR-SEGMENTATION/train/label/MA/007-4980-300.tif,DDR-SEGMENTATION/train/label/SE/007-4980-300.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-2366-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2366-100.tif,DDR-SEGMENTATION/train/label/HE/007-2366-100.tif,DDR-SEGMENTATION/train/label/MA/007-2366-100.tif,DDR-SEGMENTATION/train/label/SE/007-2366-100.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-5526-300.jpg,DDR-SEGMENTATION/train/label/EX/007-5526-300.tif,DDR-SEGMENTATION/train/label/HE/007-5526-300.tif,DDR-SEGMENTATION/train/label/MA/007-5526-300.tif,DDR-SEGMENTATION/train/label/SE/007-5526-300.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-6894-400.jpg,DDR-SEGMENTATION/train/label/EX/007-6894-400.tif,DDR-SEGMENTATION/train/label/HE/007-6894-400.tif,DDR-SEGMENTATION/train/label/MA/007-6894-400.tif,DDR-SEGMENTATION/train/label/SE/007-6894-400.tif,
DDR,train,DDR-SEGMENTATION/valid/image/007-3008-100.jpg,DDR-SEGMENTATION/valid/label/EX/007-3008-100.tif,DDR-SEGMENTATION/valid/label/HE/007-3008-100.tif,DDR-SEGMENTATION/valid/label/MA/007-3008-100.tif,DDR-SEGMENTATION/valid/label/SE/007-3008-100.tif,
DDR,train,DDR-SEGMENTATION/valid/image/007-3045-100.jpg,DDR-SEGMENTATION/valid/label/EX/007-3045-100.tif,DDR-SEGMENTATION/valid/label/HE/007-3045-100.tif,DDR-SEGMENTATION/valid/label/MA/007-3045-100.tif,DDR-SEGMENTATION/valid/label/SE/007-3045-100.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-5320-300.jpg,DDR-SEGMENTATION/train/label/EX/007-5320-300.tif,DDR-SEGMENTATION/train/label/HE/007-5320-300.tif,DDR-SEGMENTATION/train/label/MA/007-5320-300.tif,DDR-SEGMENTATION/train/label/SE/007-5320-300.tif,
