dataset,split,image_path,ex_path,he_path,ma_path,se_path,tjdr_ann_path
IDRID,train,IDRID/Original_Images/train/IDRiD_09.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_09_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_09_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_09_MA.tif,,
IDRID,train,IDRID/Original_Images/train/IDRiD_15.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_15_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_15_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_15_MA.tif,,
IDRID,train,IDRID/Original_Images/train/IDRiD_25.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_25_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_25_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_25_MA.tif,IDRID/Segmentation_Groundtruths/train/4. Soft Exudates/IDRiD_25_SE.tif,
IDRID,train,IDRID/Original_Images/train/IDRiD_32.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_32_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_32_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_32_MA.tif,IDRID/Segmentation_Groundtruths/train/4. Soft Exudates/IDRiD_32_SE.tif,
IDRID,train,IDRID/Original_Images/train/IDRiD_46.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_46_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_46_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_46_MA.tif,IDRID/Segmentation_Groundtruths/train/4. Soft Exudates/IDRiD_46_SE.tif,
IDRID,train,IDRID/Original_Images/train/IDRiD_33.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_33_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_33_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_33_MA.tif,IDRID/Segmentation_Groundtruths/train/4. Soft Exudates/IDRiD_33_SE.tif,
IDRID,train,IDRID/Original_Images/train/IDRiD_28.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_28_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_28_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_28_MA.tif,,
IDRID,train,IDRID/Original_Images/train/IDRiD_54.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_54_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_54_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_54_MA.tif,IDRID/Segmentation_Groundtruths/train/4. Soft Exudates/IDRiD_54_SE.tif,
IDRID,train,IDRID/Original_Images/train/IDRiD_51.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_51_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_51_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_51_MA.tif,IDRID/Segmentation_Groundtruths/train/4. Soft Exudates/IDRiD_51_SE.tif,
IDRID,train,IDRID/Original_Images/train/IDRiD_12.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_12_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_12_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_12_MA.tif,,
