dataset,split,image_path,ex_path,he_path,ma_path,se_path,tjdr_ann_path
TJDR,train,TJDR/train/image/TJDR_train_131.png,,,,,TJDR/train/annotation/TJDR_train_131.png
TJDR,train,TJDR/train/image/TJDR_train_091.png,,,,,TJDR/train/annotation/TJDR_train_091.png
TJDR,train,TJDR/train/image/TJDR_train_252.png,,,,,TJDR/train/annotation/TJDR_train_252.png
TJDR,train,TJDR/train/image/TJDR_train_389.png,,,,,TJDR/train/annotation/TJDR_train_389.png
TJDR,train,TJDR/train/image/TJDR_train_116.png,,,,,TJDR/train/annotation/TJDR_train_116.png
TJDR,train,TJDR/train/image/TJDR_train_371.png,,,,,TJDR/train/annotation/TJDR_train_371.png
TJDR,train,TJDR/train/image/TJDR_train_361.png,,,,,TJDR/train/annotation/TJDR_train_361.png
TJDR,train,TJDR/train/image/TJDR_train_233.png,,,,,TJDR/train/annotation/TJDR_train_233.png
TJDR,train,TJDR/train/image/TJDR_train_178.png,,,,,TJDR/train/annotation/TJDR_train_178.png
TJDR,train,TJDR/train/image/TJDR_train_041.png,,,,,TJDR/train/annotation/TJDR_train_041.png
TJDR,train,TJDR/train/image/TJDR_train_037.png,,,,,TJDR/train/annotation/TJDR_train_037.png
TJDR,train,TJDR/train/image/TJDR_train_442.png,,,,,TJDR/train/annotation/TJDR_train_442.png
TJDR,train,TJDR/train/image/TJDR_train_291.png,,,,,TJDR/train/annotation/TJDR_train_291.png
TJDR,train,TJDR/train/image/TJDR_train_147.png,,,,,TJDR/train/annotation/TJDR_train_147.png
TJDR,train,TJDR/train/image/TJDR_train_422.png,,,,,TJDR/train/annotation/TJDR_train_422.png
TJDR,train,TJDR/train/image/TJDR_train_039.png,,,,,TJDR/train/annotation/TJDR_train_039.png
TJDR,train,TJDR/train/image/TJDR_train_309.png,,,,,TJDR/train/annotation/TJDR_train_309.png
TJDR,train,TJDR/train/image/TJDR_train_239.png,,,,,TJDR/train/annotation/TJDR_train_239.png
TJDR,train,TJDR/train/image/TJDR_train_317.png,,,,,TJDR/train/annotation/TJDR_train_317.png
TJDR,train,TJDR/train/image/TJDR_train_349.png,,,,,TJDR/train/annotation/TJDR_train_349.png
TJDR,train,TJDR/train/image/TJDR_train_202.png,,,,,TJDR/train/annotation/TJDR_train_202.png
TJDR,train,TJDR/train/image/TJDR_train_341.png,,,,,TJDR/train/annotation/TJDR_train_341.png
TJDR,train,TJDR/train/image/TJDR_train_198.png,,,,,TJDR/train/annotation/TJDR_train_198.png
TJDR,train,TJDR/train/image/TJDR_train_139.png,,,,,TJDR/train/annotation/TJDR_train_139.png
TJDR,train,TJDR/train/image/TJDR_train_056.png,,,,,TJDR/train/annotation/TJDR_train_056.png
TJDR,train,TJDR/train/image/TJDR_train_242.png,,,,,TJDR/train/annotation/TJDR_train_242.png
TJDR,train,TJDR/train/image/TJDR_train_051.png,,,,,TJDR/train/annotation/TJDR_train_051.png
TJDR,train,TJDR/train/image/TJDR_train_443.png,,,,,TJDR/train/annotation/TJDR_train_443.png
TJDR,train,TJDR/train/image/TJDR_train_248.png,,,,,TJDR/train/annotation/TJDR_train_248.png
TJDR,train,TJDR/train/image/TJDR_train_243.png,,,,,TJDR/train/annotation/TJDR_train_243.png
TJDR,train,TJDR/train/image/TJDR_train_367.png,,,,,TJDR/train/annotation/TJDR_train_367.png
TJDR,train,TJDR/train/image/TJDR_train_188.png,,,,,TJDR/train/annotation/TJDR_train_188.png
TJDR,train,TJDR/train/image/TJDR_train_392.png,,,,,TJDR/train/annotation/TJDR_train_392.png
TJDR,train,TJDR/train/image/TJDR_train_436.png,,,,,TJDR/train/annotation/TJDR_train_436.png
TJDR,train,TJDR/train/image/TJDR_train_038.png,,,,,TJDR/train/annotation/TJDR_train_038.png
TJDR,train,TJDR/train/image/TJDR_train_079.png,,,,,TJDR/train/annotation/TJDR_train_079.png
TJDR,train,TJDR/train/image/TJDR_train_406.png,,,,,TJDR/train/annotation/TJDR_train_406.png
TJDR,train,TJDR/train/image/TJDR_train_030.png,,,,,TJDR/train/annotation/TJDR_train_030.png
TJDR,train,TJDR/train/image/TJDR_train_277.png,,,,,TJDR/train/annotation/TJDR_train_277.png
TJDR,train,TJDR/train/image/TJDR_train_425.png,,,,,TJDR/train/annotation/TJDR_train_425.png
TJDR,train,TJDR/train/image/TJDR_train_281.png,,,,,TJDR/train/annotation/TJDR_train_281.png
TJDR,train,TJDR/train/image/TJDR_train_063.png,,,,,TJDR/train/annotation/TJDR_train_063.png
TJDR,train,TJDR/train/image/TJDR_train_210.png,,,,,TJDR/train/annotation/TJDR_train_210.png
TJDR,train,TJDR/train/image/TJDR_train_183.png,,,,,TJDR/train/annotation/TJDR_train_183.png
TJDR,train,TJDR/train/image/TJDR_train_042.png,,,,,TJDR/train/annotation/TJDR_train_042.png
TJDR,train,TJDR/train/image/TJDR_train_379.png,,,,,TJDR/train/annotation/TJDR_train_379.png
TJDR,train,TJDR/train/image/TJDR_train_024.png,,,,,TJDR/train/annotation/TJDR_train_024.png
TJDR,train,TJDR/train/image/TJDR_train_044.png,,,,,TJDR/train/annotation/TJDR_train_044.png
TJDR,train,TJDR/train/image/TJDR_train_295.png,,,,,TJDR/train/annotation/TJDR_train_295.png
TJDR,train,TJDR/train/image/TJDR_train_071.png,,,,,TJDR/train/annotation/TJDR_train_071.png
TJDR,train,TJDR/train/image/TJDR_train_197.png,,,,,TJDR/train/annotation/TJDR_train_197.png
TJDR,train,TJDR/train/image/TJDR_train_228.png,,,,,TJDR/train/annotation/TJDR_train_228.png
TJDR,train,TJDR/train/image/TJDR_train_034.png,,,,,TJDR/train/annotation/TJDR_train_034.png
TJDR,train,TJDR/train/image/TJDR_train_040.png,,,,,TJDR/train/annotation/TJDR_train_040.png
TJDR,train,TJDR/train/image/TJDR_train_256.png,,,,,TJDR/train/annotation/TJDR_train_256.png
TJDR,train,TJDR/train/image/TJDR_train_065.png,,,,,TJDR/train/annotation/TJDR_train_065.png
TJDR,train,TJDR/train/image/TJDR_train_263.png,,,,,TJDR/train/annotation/TJDR_train_263.png
TJDR,train,TJDR/train/image/TJDR_train_254.png,,,,,TJDR/train/annotation/TJDR_train_254.png
TJDR,train,TJDR/train/image/TJDR_train_411.png,,,,,TJDR/train/annotation/TJDR_train_411.png
TJDR,train,TJDR/train/image/TJDR_train_293.png,,,,,TJDR/train/annotation/TJDR_train_293.png
TJDR,train,TJDR/train/image/TJDR_train_010.png,,,,,TJDR/train/annotation/TJDR_train_010.png
TJDR,train,TJDR/train/image/TJDR_train_086.png,,,,,TJDR/train/annotation/TJDR_train_086.png
TJDR,train,TJDR/train/image/TJDR_train_132.png,,,,,TJDR/train/annotation/TJDR_train_132.png
TJDR,train,TJDR/train/image/TJDR_train_113.png,,,,,TJDR/train/annotation/TJDR_train_113.png
TJDR,train,TJDR/train/image/TJDR_train_424.png,,,,,TJDR/train/annotation/TJDR_train_424.png
TJDR,train,TJDR/train/image/TJDR_train_013.png,,,,,TJDR/train/annotation/TJDR_train_013.png
TJDR,train,TJDR/train/image/TJDR_train_126.png,,,,,TJDR/train/annotation/TJDR_train_126.png
TJDR,train,TJDR/train/image/TJDR_train_199.png,,,,,TJDR/train/annotation/TJDR_train_199.png
TJDR,train,TJDR/train/image/TJDR_train_005.png,,,,,TJDR/train/annotation/TJDR_train_005.png
TJDR,train,TJDR/train/image/TJDR_train_104.png,,,,,TJDR/train/annotation/TJDR_train_104.png
TJDR,train,TJDR/train/image/TJDR_train_117.png,,,,,TJDR/train/annotation/TJDR_train_117.png
TJDR,train,TJDR/train/image/TJDR_train_266.png,,,,,TJDR/train/annotation/TJDR_train_266.png
TJDR,train,TJDR/train/image/TJDR_train_145.png,,,,,TJDR/train/annotation/TJDR_train_145.png
TJDR,train,TJDR/train/image/TJDR_train_223.png,,,,,TJDR/train/annotation/TJDR_train_223.png
TJDR,train,TJDR/train/image/TJDR_train_418.png,,,,,TJDR/train/annotation/TJDR_train_418.png
TJDR,train,TJDR/train/image/TJDR_train_209.png,,,,,TJDR/train/annotation/TJDR_train_209.png
TJDR,train,TJDR/train/image/TJDR_train_407.png,,,,,TJDR/train/annotation/TJDR_train_407.png
TJDR,train,TJDR/train/image/TJDR_train_159.png,,,,,TJDR/train/annotation/TJDR_train_159.png
TJDR,train,TJDR/train/image/TJDR_train_214.png,,,,,TJDR/train/annotation/TJDR_train_214.png
TJDR,train,TJDR/train/image/TJDR_train_211.png,,,,,TJDR/train/annotation/TJDR_train_211.png
TJDR,train,TJDR/train/image/TJDR_train_168.png,,,,,TJDR/train/annotation/TJDR_train_168.png
TJDR,train,TJDR/train/image/TJDR_train_095.png,,,,,TJDR/train/annotation/TJDR_train_095.png
TJDR,train,TJDR/train/image/TJDR_train_329.png,,,,,TJDR/train/annotation/TJDR_train_329.png
TJDR,train,TJDR/train/image/TJDR_train_247.png,,,,,TJDR/train/annotation/TJDR_train_247.png
TJDR,train,TJDR/train/image/TJDR_train_351.png,,,,,TJDR/train/annotation/TJDR_train_351.png
TJDR,train,TJDR/train/image/TJDR_train_125.png,,,,,TJDR/train/annotation/TJDR_train_125.png
TJDR,train,TJDR/train/image/TJDR_train_264.png,,,,,TJDR/train/annotation/TJDR_train_264.png
TJDR,train,TJDR/train/image/TJDR_train_272.png,,,,,TJDR/train/annotation/TJDR_train_272.png
TJDR,train,TJDR/train/image/TJDR_train_312.png,,,,,TJDR/train/annotation/TJDR_train_312.png
TJDR,train,TJDR/train/image/TJDR_train_288.png,,,,,TJDR/train/annotation/TJDR_train_288.png
TJDR,train,TJDR/train/image/TJDR_train_301.png,,,,,TJDR/train/annotation/TJDR_train_301.png
TJDR,train,TJDR/train/image/TJDR_train_354.png,,,,,TJDR/train/annotation/TJDR_train_354.png
TJDR,train,TJDR/train/image/TJDR_train_066.png,,,,,TJDR/train/annotation/TJDR_train_066.png
TJDR,train,TJDR/train/image/TJDR_train_161.png,,,,,TJDR/train/annotation/TJDR_train_161.png
TJDR,train,TJDR/train/image/TJDR_train_388.png,,,,,TJDR/train/annotation/TJDR_train_388.png
TJDR,train,TJDR/train/image/TJDR_train_416.png,,,,,TJDR/train/annotation/TJDR_train_416.png
TJDR,train,TJDR/train/image/TJDR_train_098.png,,,,,TJDR/train/annotation/TJDR_train_098.png
TJDR,train,TJDR/train/image/TJDR_train_305.png,,,,,TJDR/train/annotation/TJDR_train_305.png
TJDR,train,TJDR/train/image/TJDR_train_275.png,,,,,TJDR/train/annotation/TJDR_train_275.png
TJDR,train,TJDR/train/image/TJDR_train_137.png,,,,,TJDR/train/annotation/TJDR_train_137.png
TJDR,train,TJDR/train/image/TJDR_train_396.png,,,,,TJDR/train/annotation/TJDR_train_396.png
TJDR,train,TJDR/train/image/TJDR_train_230.png,,,,,TJDR/train/annotation/TJDR_train_230.png
TJDR,train,TJDR/train/image/TJDR_train_200.png,,,,,TJDR/train/annotation/TJDR_train_200.png
TJDR,train,TJDR/train/image/TJDR_train_395.png,,,,,TJDR/train/annotation/TJDR_train_395.png
TJDR,train,TJDR/train/image/TJDR_train_081.png,,,,,TJDR/train/annotation/TJDR_train_081.png
TJDR,train,TJDR/train/image/TJDR_train_440.png,,,,,TJDR/train/annotation/TJDR_train_440.png
TJDR,train,TJDR/train/image/TJDR_train_120.png,,,,,TJDR/train/annotation/TJDR_train_120.png
TJDR,train,TJDR/train/image/TJDR_train_237.png,,,,,TJDR/train/annotation/TJDR_train_237.png
TJDR,train,TJDR/train/image/TJDR_train_193.png,,,,,TJDR/train/annotation/TJDR_train_193.png
TJDR,train,TJDR/train/image/TJDR_train_195.png,,,,,TJDR/train/annotation/TJDR_train_195.png
TJDR,train,TJDR/train/image/TJDR_train_423.png,,,,,TJDR/train/annotation/TJDR_train_423.png
TJDR,train,TJDR/train/image/TJDR_train_216.png,,,,,TJDR/train/annotation/TJDR_train_216.png
TJDR,train,TJDR/train/image/TJDR_train_146.png,,,,,TJDR/train/annotation/TJDR_train_146.png
TJDR,train,TJDR/train/image/TJDR_train_203.png,,,,,TJDR/train/annotation/TJDR_train_203.png
TJDR,train,TJDR/train/image/TJDR_train_426.png,,,,,TJDR/train/annotation/TJDR_train_426.png
TJDR,train,TJDR/train/image/TJDR_train_290.png,,,,,TJDR/train/annotation/TJDR_train_290.png
TJDR,train,TJDR/train/image/TJDR_train_135.png,,,,,TJDR/train/annotation/TJDR_train_135.png
TJDR,train,TJDR/train/image/TJDR_train_285.png,,,,,TJDR/train/annotation/TJDR_train_285.png
TJDR,train,TJDR/train/image/TJDR_train_335.png,,,,,TJDR/train/annotation/TJDR_train_335.png
TJDR,train,TJDR/train/image/TJDR_train_333.png,,,,,TJDR/train/annotation/TJDR_train_333.png
TJDR,train,TJDR/train/image/TJDR_train_300.png,,,,,TJDR/train/annotation/TJDR_train_300.png
TJDR,train,TJDR/train/image/TJDR_train_144.png,,,,,TJDR/train/annotation/TJDR_train_144.png
TJDR,train,TJDR/train/image/TJDR_train_344.png,,,,,TJDR/train/annotation/TJDR_train_344.png
TJDR,train,TJDR/train/image/TJDR_train_164.png,,,,,TJDR/train/annotation/TJDR_train_164.png
TJDR,train,TJDR/train/image/TJDR_train_331.png,,,,,TJDR/train/annotation/TJDR_train_331.png
TJDR,train,TJDR/train/image/TJDR_train_374.png,,,,,TJDR/train/annotation/TJDR_train_374.png
TJDR,train,TJDR/train/image/TJDR_train_246.png,,,,,TJDR/train/annotation/TJDR_train_246.png
TJDR,train,TJDR/train/image/TJDR_train_190.png,,,,,TJDR/train/annotation/TJDR_train_190.png
TJDR,train,TJDR/train/image/TJDR_train_308.png,,,,,TJDR/train/annotation/TJDR_train_308.png
TJDR,train,TJDR/train/image/TJDR_train_409.png,,,,,TJDR/train/annotation/TJDR_train_409.png
TJDR,train,TJDR/train/image/TJDR_train_435.png,,,,,TJDR/train/annotation/TJDR_train_435.png
TJDR,train,TJDR/train/image/TJDR_train_049.png,,,,,TJDR/train/annotation/TJDR_train_049.png
TJDR,train,TJDR/train/image/TJDR_train_138.png,,,,,TJDR/train/annotation/TJDR_train_138.png
TJDR,train,TJDR/train/image/TJDR_train_303.png,,,,,TJDR/train/annotation/TJDR_train_303.png
TJDR,train,TJDR/train/image/TJDR_train_420.png,,,,,TJDR/train/annotation/TJDR_train_420.png
TJDR,train,TJDR/train/image/TJDR_train_136.png,,,,,TJDR/train/annotation/TJDR_train_136.png
TJDR,train,TJDR/train/image/TJDR_train_399.png,,,,,TJDR/train/annotation/TJDR_train_399.png
TJDR,train,TJDR/train/image/TJDR_train_345.png,,,,,TJDR/train/annotation/TJDR_train_345.png
TJDR,train,TJDR/train/image/TJDR_train_328.png,,,,,TJDR/train/annotation/TJDR_train_328.png
TJDR,train,TJDR/train/image/TJDR_train_434.png,,,,,TJDR/train/annotation/TJDR_train_434.png
TJDR,train,TJDR/train/image/TJDR_train_414.png,,,,,TJDR/train/annotation/TJDR_train_414.png
TJDR,train,TJDR/train/image/TJDR_train_364.png,,,,,TJDR/train/annotation/TJDR_train_364.png
TJDR,train,TJDR/train/image/TJDR_train_011.png,,,,,TJDR/train/annotation/TJDR_train_011.png
TJDR,train,TJDR/train/image/TJDR_train_320.png,,,,,TJDR/train/annotation/TJDR_train_320.png
TJDR,train,TJDR/train/image/TJDR_train_380.png,,,,,TJDR/train/annotation/TJDR_train_380.png
TJDR,train,TJDR/train/image/TJDR_train_184.png,,,,,TJDR/train/annotation/TJDR_train_184.png
TJDR,train,TJDR/train/image/TJDR_train_179.png,,,,,TJDR/train/annotation/TJDR_train_179.png
TJDR,train,TJDR/train/image/TJDR_train_241.png,,,,,TJDR/train/annotation/TJDR_train_241.png
TJDR,train,TJDR/train/image/TJDR_train_377.png,,,,,TJDR/train/annotation/TJDR_train_377.png
TJDR,train,TJDR/train/image/TJDR_train_279.png,,,,,TJDR/train/annotation/TJDR_train_279.png
TJDR,train,TJDR/train/image/TJDR_train_046.png,,,,,TJDR/train/annotation/TJDR_train_046.png
TJDR,train,TJDR/train/image/TJDR_train_287.png,,,,,TJDR/train/annotation/TJDR_train_287.png
TJDR,train,TJDR/train/image/TJDR_train_096.png,,,,,TJDR/train/annotation/TJDR_train_096.png
TJDR,train,TJDR/train/image/TJDR_train_296.png,,,,,TJDR/train/annotation/TJDR_train_296.png
TJDR,train,TJDR/train/image/TJDR_train_186.png,,,,,TJDR/train/annotation/TJDR_train_186.png
TJDR,train,TJDR/train/image/TJDR_train_134.png,,,,,TJDR/train/annotation/TJDR_train_134.png
TJDR,train,TJDR/train/image/TJDR_train_148.png,,,,,TJDR/train/annotation/TJDR_train_148.png
TJDR,train,TJDR/train/image/TJDR_train_231.png,,,,,TJDR/train/annotation/TJDR_train_231.png
TJDR,train,TJDR/train/image/TJDR_train_154.png,,,,,TJDR/train/annotation/TJDR_train_154.png
TJDR,train,TJDR/train/image/TJDR_train_224.png,,,,,TJDR/train/annotation/TJDR_train_224.png
TJDR,train,TJDR/train/image/TJDR_train_358.png,,,,,TJDR/train/annotation/TJDR_train_358.png
TJDR,train,TJDR/train/image/TJDR_train_194.png,,,,,TJDR/train/annotation/TJDR_train_194.png
TJDR,train,TJDR/train/image/TJDR_train_323.png,,,,,TJDR/train/annotation/TJDR_train_323.png
TJDR,train,TJDR/train/image/TJDR_train_009.png,,,,,TJDR/train/annotation/TJDR_train_009.png
TJDR,train,TJDR/train/image/TJDR_train_004.png,,,,,TJDR/train/annotation/TJDR_train_004.png
TJDR,train,TJDR/train/image/TJDR_train_023.png,,,,,TJDR/train/annotation/TJDR_train_023.png
TJDR,train,TJDR/train/image/TJDR_train_129.png,,,,,TJDR/train/annotation/TJDR_train_129.png
TJDR,train,TJDR/train/image/TJDR_train_187.png,,,,,TJDR/train/annotation/TJDR_train_187.png
TJDR,train,TJDR/train/image/TJDR_train_274.png,,,,,TJDR/train/annotation/TJDR_train_274.png
TJDR,train,TJDR/train/image/TJDR_train_174.png,,,,,TJDR/train/annotation/TJDR_train_174.png
TJDR,train,TJDR/train/image/TJDR_train_054.png,,,,,TJDR/train/annotation/TJDR_train_054.png
TJDR,train,TJDR/train/image/TJDR_train_219.png,,,,,TJDR/train/annotation/TJDR_train_219.png
TJDR,train,TJDR/train/image/TJDR_train_057.png,,,,,TJDR/train/annotation/TJDR_train_057.png
TJDR,train,TJDR/train/image/TJDR_train_143.png,,,,,TJDR/train/annotation/TJDR_train_143.png
TJDR,train,TJDR/train/image/TJDR_train_103.png,,,,,TJDR/train/annotation/TJDR_train_103.png
TJDR,train,TJDR/train/image/TJDR_train_020.png,,,,,TJDR/train/annotation/TJDR_train_020.png
TJDR,train,TJDR/train/image/TJDR_train_115.png,,,,,TJDR/train/annotation/TJDR_train_115.png
TJDR,train,TJDR/train/image/TJDR_train_111.png,,,,,TJDR/train/annotation/TJDR_train_111.png
TJDR,train,TJDR/train/image/TJDR_train_060.png,,,,,TJDR/train/annotation/TJDR_train_060.png
TJDR,train,TJDR/train/image/TJDR_train_321.png,,,,,TJDR/train/annotation/TJDR_train_321.png
TJDR,train,TJDR/train/image/TJDR_train_215.png,,,,,TJDR/train/annotation/TJDR_train_215.png
TJDR,train,TJDR/train/image/TJDR_train_050.png,,,,,TJDR/train/annotation/TJDR_train_050.png
TJDR,train,TJDR/train/image/TJDR_train_363.png,,,,,TJDR/train/annotation/TJDR_train_363.png
TJDR,train,TJDR/train/image/TJDR_train_334.png,,,,,TJDR/train/annotation/TJDR_train_334.png
TJDR,train,TJDR/train/image/TJDR_train_118.png,,,,,TJDR/train/annotation/TJDR_train_118.png
TJDR,train,TJDR/train/image/TJDR_train_088.png,,,,,TJDR/train/annotation/TJDR_train_088.png
TJDR,train,TJDR/train/image/TJDR_train_394.png,,,,,TJDR/train/annotation/TJDR_train_394.png
TJDR,train,TJDR/train/image/TJDR_train_100.png,,,,,TJDR/train/annotation/TJDR_train_100.png
TJDR,train,TJDR/train/image/TJDR_train_069.png,,,,,TJDR/train/annotation/TJDR_train_069.png
TJDR,train,TJDR/train/image/TJDR_train_124.png,,,,,TJDR/train/annotation/TJDR_train_124.png
TJDR,train,TJDR/train/image/TJDR_train_267.png,,,,,TJDR/train/annotation/TJDR_train_267.png
TJDR,train,TJDR/train/image/TJDR_train_015.png,,,,,TJDR/train/annotation/TJDR_train_015.png
